<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
NYMEX.PL,D,08/07/20,00:00:00,881.3000000
NYMEX.PL,D,09/07/20,00:00:00,852.9000000
NYMEX.PL,D,10/07/20,00:00:00,841.5000000
NYMEX.PL,D,12/07/20,00:00:00,844.8000000
NYMEX.PL,D,13/07/20,00:00:00,849.9000000
NYMEX.PL,D,14/07/20,00:00:00,844.3000000
NYMEX.PL,D,15/07/20,00:00:00,846.5000000
NYMEX.PL,D,16/07/20,00:00:00,833.8000000
NYMEX.PL,D,17/07/20,00:00:00,851.4000000
NYMEX.PL,D,19/07/20,00:00:00,851.8000000
NYMEX.PL,D,20/07/20,00:00:00,863.0000000
NYMEX.PL,D,21/07/20,00:00:00,927.0000000
NYMEX.PL,D,22/07/20,00:00:00,962.7000000
NYMEX.PL,D,23/07/20,00:00:00,949.5000000
NYMEX.PL,D,24/07/20,00:00:00,955.0000000
NYMEX.PL,D,26/07/20,00:00:00,967.2000000
NYMEX.PL,D,27/07/20,00:00:00,995.8000000
NYMEX.PL,D,28/07/20,00:00:00,987.7000000
NYMEX.PL,D,29/07/20,00:00:00,959.0000000
NYMEX.PL,D,30/07/20,00:00:00,920.3000000
NYMEX.PL,D,31/07/20,00:00:00,919.7000000
NYMEX.PL,D,02/08/20,00:00:00,922.0000000
NYMEX.PL,D,03/08/20,00:00:00,937.5000000
NYMEX.PL,D,04/08/20,00:00:00,957.1000000
NYMEX.PL,D,05/08/20,00:00:00,991.1000000
NYMEX.PL,D,06/08/20,00:00:00,1026.1000000
NYMEX.PL,D,07/08/20,00:00:00,982.0000000
NYMEX.PL,D,09/08/20,00:00:00,983.8000000
NYMEX.PL,D,10/08/20,00:00:00,1004.7000000
NYMEX.PL,D,11/08/20,00:00:00,942.6000000
NYMEX.PL,D,12/08/20,00:00:00,948.7000000
NYMEX.PL,D,13/08/20,00:00:00,977.9000000
NYMEX.PL,D,14/08/20,00:00:00,960.8000000
NYMEX.PL,D,16/08/20,00:00:00,959.1000000
NYMEX.PL,D,17/08/20,00:00:00,968.4000000
NYMEX.PL,D,18/08/20,00:00:00,976.8000000
NYMEX.PL,D,19/08/20,00:00:00,942.0000000
NYMEX.PL,D,20/08/20,00:00:00,934.2000000
NYMEX.PL,D,21/08/20,00:00:00,926.3000000
NYMEX.PL,D,23/08/20,00:00:00,925.0000000
NYMEX.PL,D,24/08/20,00:00:00,927.0000000
NYMEX.PL,D,25/08/20,00:00:00,938.8000000
NYMEX.PL,D,26/08/20,00:00:00,945.3000000
NYMEX.PL,D,27/08/20,00:00:00,932.2000000
NYMEX.PL,D,28/08/20,00:00:00,940.7000000
NYMEX.PL,D,30/08/20,00:00:00,946.8000000
NYMEX.PL,D,31/08/20,00:00:00,937.1000000
NYMEX.PL,D,01/09/20,00:00:00,951.8000000
NYMEX.PL,D,02/09/20,00:00:00,911.7000000
NYMEX.PL,D,03/09/20,00:00:00,889.8000000
NYMEX.PL,D,04/09/20,00:00:00,906.9000000
NYMEX.PL,D,06/09/20,00:00:00,903.0000000
NYMEX.PL,D,07/09/20,00:00:00,912.7000000
NYMEX.PL,D,08/09/20,00:00:00,903.8000000
NYMEX.PL,D,09/09/20,00:00:00,926.4000000
NYMEX.PL,D,10/09/20,00:00:00,929.8000000
NYMEX.PL,D,11/09/20,00:00:00,932.9000000
NYMEX.PL,D,13/09/20,00:00:00,939.6000000
NYMEX.PL,D,14/09/20,00:00:00,964.6000000
NYMEX.PL,D,15/09/20,00:00:00,975.9000000
NYMEX.PL,D,16/09/20,00:00:00,971.9000000
NYMEX.PL,D,17/09/20,00:00:00,937.4000000
NYMEX.PL,D,18/09/20,00:00:00,932.8000000
NYMEX.PL,D,20/09/20,00:00:00,933.9000000
NYMEX.PL,D,21/09/20,00:00:00,890.3000000
NYMEX.PL,D,22/09/20,00:00:00,872.2000000
NYMEX.PL,D,23/09/20,00:00:00,829.0000000
NYMEX.PL,D,24/09/20,00:00:00,844.7000000
NYMEX.PL,D,25/09/20,00:00:00,841.6000000
NYMEX.PL,D,27/09/20,00:00:00,848.8000000
NYMEX.PL,D,28/09/20,00:00:00,883.4000000
NYMEX.PL,D,29/09/20,00:00:00,882.6000000
NYMEX.PL,D,30/09/20,00:00:00,903.5000000
NYMEX.PL,D,01/10/20,00:00:00,904.1000000
NYMEX.PL,D,02/10/20,00:00:00,887.2000000
