<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SANDP-500,D,07/07/20,00:00:00,3145.3200000
SANDP-500,D,08/07/20,00:00:00,3169.9400000
SANDP-500,D,09/07/20,00:00:00,3152.0500000
SANDP-500,D,10/07/20,00:00:00,3185.0400000
SANDP-500,D,13/07/20,00:00:00,3155.2200000
SANDP-500,D,14/07/20,00:00:00,3197.5200000
SANDP-500,D,15/07/20,00:00:00,3226.5600000
SANDP-500,D,16/07/20,00:00:00,3215.5700000
SANDP-500,D,17/07/20,00:00:00,3224.7300000
SANDP-500,D,20/07/20,00:00:00,3251.8400000
SANDP-500,D,21/07/20,00:00:00,3257.3000000
SANDP-500,D,22/07/20,00:00:00,3276.0200000
SANDP-500,D,23/07/20,00:00:00,3235.6600000
SANDP-500,D,24/07/20,00:00:00,3215.6300000
SANDP-500,D,27/07/20,00:00:00,3239.4100000
SANDP-500,D,28/07/20,00:00:00,3218.4400000
SANDP-500,D,29/07/20,00:00:00,3258.4400000
SANDP-500,D,30/07/20,00:00:00,3246.2200000
SANDP-500,D,31/07/20,00:00:00,3271.1200000
SANDP-500,D,03/08/20,00:00:00,3294.6100000
SANDP-500,D,04/08/20,00:00:00,3306.5100000
SANDP-500,D,05/08/20,00:00:00,3327.7700000
SANDP-500,D,06/08/20,00:00:00,3349.1600000
SANDP-500,D,07/08/20,00:00:00,3351.2800000
SANDP-500,D,10/08/20,00:00:00,3360.4700000
SANDP-500,D,11/08/20,00:00:00,3333.6900000
SANDP-500,D,12/08/20,00:00:00,3380.3500000
SANDP-500,D,13/08/20,00:00:00,3373.4300000
SANDP-500,D,14/08/20,00:00:00,3372.8500000
SANDP-500,D,17/08/20,00:00:00,3381.9900000
SANDP-500,D,18/08/20,00:00:00,3389.7800000
SANDP-500,D,19/08/20,00:00:00,3374.8500000
SANDP-500,D,20/08/20,00:00:00,3385.5100000
SANDP-500,D,21/08/20,00:00:00,3397.1600000
SANDP-500,D,24/08/20,00:00:00,3431.2800000
SANDP-500,D,25/08/20,00:00:00,3443.6200000
SANDP-500,D,26/08/20,00:00:00,3478.7300000
SANDP-500,D,27/08/20,00:00:00,3484.5500000
SANDP-500,D,28/08/20,00:00:00,3508.0100000
SANDP-500,D,31/08/20,00:00:00,3500.3100000
SANDP-500,D,01/09/20,00:00:00,3526.6500000
SANDP-500,D,02/09/20,00:00:00,3580.8400000
SANDP-500,D,03/09/20,00:00:00,3455.0600000
SANDP-500,D,04/09/20,00:00:00,3426.9600000
SANDP-500,D,08/09/20,00:00:00,3331.8400000
SANDP-500,D,09/09/20,00:00:00,3398.9600000
SANDP-500,D,10/09/20,00:00:00,3339.1900000
SANDP-500,D,11/09/20,00:00:00,3340.9700000
SANDP-500,D,14/09/20,00:00:00,3383.5400000
SANDP-500,D,15/09/20,00:00:00,3401.2000000
SANDP-500,D,16/09/20,00:00:00,3385.4900000
SANDP-500,D,17/09/20,00:00:00,3357.0100000
SANDP-500,D,18/09/20,00:00:00,3319.4700000
SANDP-500,D,21/09/20,00:00:00,3281.0600000
SANDP-500,D,22/09/20,00:00:00,3315.5700000
SANDP-500,D,23/09/20,00:00:00,3236.9200000
SANDP-500,D,24/09/20,00:00:00,3246.5900000
SANDP-500,D,25/09/20,00:00:00,3298.4600000
SANDP-500,D,28/09/20,00:00:00,3351.6000000
SANDP-500,D,29/09/20,00:00:00,3335.4700000
SANDP-500,D,30/09/20,00:00:00,3363.0000000
SANDP-500,D,01/10/20,00:00:00,3380.8000000
SANDP-500,D,02/10/20,00:00:00,3348.4400000
SANDP-500,D,05/10/20,00:00:00,3408.6300000
SANDP-500,D,06/10/20,00:00:00,3360.9500000
SANDP-500,D,07/10/20,00:00:00,3419.4500000
SANDP-500,D,08/10/20,00:00:00,3446.8300000
SANDP-500,D,09/10/20,00:00:00,3477.1300000
SANDP-500,D,12/10/20,00:00:00,3534.2200000
SANDP-500,D,13/10/20,00:00:00,3511.9300000
SANDP-500,D,14/10/20,00:00:00,3488.6700000
SANDP-500,D,15/10/20,00:00:00,3483.3400000
SANDP-500,D,16/10/20,00:00:00,3483.8100000
SANDP-500,D,19/10/20,00:00:00,3426.9200000
SANDP-500,D,20/10/20,00:00:00,3443.1200000
SANDP-500,D,21/10/20,00:00:00,3435.5600000
SANDP-500,D,22/10/20,00:00:00,3453.4900000
SANDP-500,D,23/10/20,00:00:00,3465.3900000
SANDP-500,D,26/10/20,00:00:00,3400.9700000
SANDP-500,D,27/10/20,00:00:00,3390.6800000
SANDP-500,D,28/10/20,00:00:00,3271.0300000
SANDP-500,D,29/10/20,00:00:00,3310.1100000
SANDP-500,D,30/10/20,00:00:00,3269.9600000
SANDP-500,D,02/11/20,00:00:00,3310.2400000
SANDP-500,D,03/11/20,00:00:00,3369.0200000
SANDP-500,D,04/11/20,00:00:00,3443.4400000
SANDP-500,D,05/11/20,00:00:00,3510.4500000
SANDP-500,D,06/11/20,00:00:00,3509.4400000
SANDP-500,D,09/11/20,00:00:00,3550.5000000
SANDP-500,D,10/11/20,00:00:00,3545.5300000
SANDP-500,D,11/11/20,00:00:00,3572.6600000
SANDP-500,D,12/11/20,00:00:00,3537.0100000
SANDP-500,D,13/11/20,00:00:00,3585.1500000
SANDP-500,D,16/11/20,00:00:00,3626.9100000
SANDP-500,D,17/11/20,00:00:00,3609.5300000
SANDP-500,D,18/11/20,00:00:00,3567.7900000
SANDP-500,D,19/11/20,00:00:00,3581.8700000
SANDP-500,D,20/11/20,00:00:00,3557.5400000
SANDP-500,D,23/11/20,00:00:00,3577.5900000
SANDP-500,D,24/11/20,00:00:00,3635.4100000
SANDP-500,D,25/11/20,00:00:00,3629.6500000
SANDP-500,D,27/11/20,00:00:00,3638.3500000
SANDP-500,D,30/11/20,00:00:00,3621.6300000
SANDP-500,D,01/12/20,00:00:00,3662.4500000
SANDP-500,D,02/12/20,00:00:00,3669.0100000
SANDP-500,D,03/12/20,00:00:00,3666.7200000
SANDP-500,D,04/12/20,00:00:00,3699.1200000
SANDP-500,D,07/12/20,00:00:00,3691.9600000
SANDP-500,D,08/12/20,00:00:00,3702.2500000
SANDP-500,D,09/12/20,00:00:00,3672.8200000
SANDP-500,D,10/12/20,00:00:00,3668.1000000
SANDP-500,D,11/12/20,00:00:00,3663.4600000
SANDP-500,D,14/12/20,00:00:00,3647.4900000
SANDP-500,D,15/12/20,00:00:00,3694.6200000
SANDP-500,D,16/12/20,00:00:00,3701.1700000
SANDP-500,D,17/12/20,00:00:00,3722.4800000
SANDP-500,D,18/12/20,00:00:00,3709.4100000
SANDP-500,D,21/12/20,00:00:00,3694.9200000
SANDP-500,D,22/12/20,00:00:00,3687.2600000
SANDP-500,D,23/12/20,00:00:00,3690.0100000
SANDP-500,D,24/12/20,00:00:00,3703.0600000
SANDP-500,D,28/12/20,00:00:00,3735.3600000
SANDP-500,D,29/12/20,00:00:00,3727.0400000
SANDP-500,D,30/12/20,00:00:00,3732.0400000
SANDP-500,D,31/12/20,00:00:00,3756.0700000
SANDP-500,D,04/01/21,00:00:00,3700.6500000
SANDP-500,D,05/01/21,00:00:00,3726.8600000
SANDP-500,D,06/01/21,00:00:00,3748.1400000
SANDP-500,D,07/01/21,00:00:00,3803.7900000
SANDP-500,D,08/01/21,00:00:00,3824.6800000
SANDP-500,D,11/01/21,00:00:00,3799.6100000
SANDP-500,D,12/01/21,00:00:00,3801.1900000
SANDP-500,D,13/01/21,00:00:00,3809.8400000
SANDP-500,D,14/01/21,00:00:00,3795.5400000
SANDP-500,D,15/01/21,00:00:00,3768.2500000
SANDP-500,D,19/01/21,00:00:00,3798.9100000
SANDP-500,D,20/01/21,00:00:00,3851.8500000
SANDP-500,D,21/01/21,00:00:00,3853.0700000
SANDP-500,D,22/01/21,00:00:00,3841.4700000
SANDP-500,D,25/01/21,00:00:00,3855.3600000
SANDP-500,D,26/01/21,00:00:00,3849.6200000
SANDP-500,D,27/01/21,00:00:00,3750.7700000
SANDP-500,D,28/01/21,00:00:00,3787.3800000
SANDP-500,D,29/01/21,00:00:00,3714.2400000
SANDP-500,D,01/02/21,00:00:00,3773.8600000
SANDP-500,D,02/02/21,00:00:00,3826.3100000
SANDP-500,D,03/02/21,00:00:00,3830.1700000
SANDP-500,D,04/02/21,00:00:00,3871.7400000
SANDP-500,D,05/02/21,00:00:00,3886.8300000
