<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
LME.Lead,D,13/11/20,00:00:00,1874.8500000
LME.Lead,D,16/11/20,00:00:00,1889.7500000
LME.Lead,D,17/11/20,00:00:00,1918.5000000
LME.Lead,D,18/11/20,00:00:00,1931.5000000
LME.Lead,D,19/11/20,00:00:00,1962.7500000
LME.Lead,D,20/11/20,00:00:00,2000.7500000
LME.Lead,D,23/11/20,00:00:00,1995.5000000
LME.Lead,D,24/11/20,00:00:00,2008.4000000
LME.Lead,D,25/11/20,00:00:00,2017.1500000
LME.Lead,D,26/11/20,00:00:00,2023.1500000
LME.Lead,D,27/11/20,00:00:00,2089.4500000
LME.Lead,D,30/11/20,00:00:00,2061.5000000
LME.Lead,D,01/12/20,00:00:00,2074.2500000
LME.Lead,D,02/12/20,00:00:00,2042.2500000
LME.Lead,D,03/12/20,00:00:00,2018.0000000
LME.Lead,D,04/12/20,00:00:00,2012.7500000
LME.Lead,D,07/12/20,00:00:00,2062.5000000
LME.Lead,D,08/12/20,00:00:00,2090.2500000
LME.Lead,D,09/12/20,00:00:00,2101.5000000
LME.Lead,D,10/12/20,00:00:00,2080.2500000
LME.Lead,D,11/12/20,00:00:00,2056.0000000
LME.Lead,D,14/12/20,00:00:00,2019.4500000
LME.Lead,D,15/12/20,00:00:00,2050.2500000
LME.Lead,D,16/12/20,00:00:00,2053.2500000
LME.Lead,D,17/12/20,00:00:00,2042.0000000
LME.Lead,D,18/12/20,00:00:00,2031.2500000
LME.Lead,D,21/12/20,00:00:00,1939.6500000
LME.Lead,D,22/12/20,00:00:00,1938.0000000
LME.Lead,D,23/12/20,00:00:00,1949.5000000
LME.Lead,D,24/12/20,00:00:00,1948.7500000
LME.Lead,D,29/12/20,00:00:00,1964.0000000
LME.Lead,D,30/12/20,00:00:00,1980.2500000
LME.Lead,D,31/12/20,00:00:00,1975.7500000
LME.Lead,D,04/01/21,00:00:00,2035.7500000
LME.Lead,D,05/01/21,00:00:00,2067.0000000
LME.Lead,D,06/01/21,00:00:00,2043.0000000
LME.Lead,D,07/01/21,00:00:00,2014.5000000
LME.Lead,D,08/01/21,00:00:00,1980.7500000
LME.Lead,D,11/01/21,00:00:00,1945.0000000
LME.Lead,D,12/01/21,00:00:00,2001.2500000
LME.Lead,D,13/01/21,00:00:00,2034.7500000
LME.Lead,D,14/01/21,00:00:00,2012.6500000
LME.Lead,D,15/01/21,00:00:00,1979.1500000
LME.Lead,D,18/01/21,00:00:00,1976.5000000
LME.Lead,D,19/01/21,00:00:00,1995.0000000
LME.Lead,D,20/01/21,00:00:00,2025.4100000
LME.Lead,D,21/01/21,00:00:00,2020.5500000
LME.Lead,D,22/01/21,00:00:00,2027.0000000
LME.Lead,D,25/01/21,00:00:00,2027.7500000
LME.Lead,D,26/01/21,00:00:00,2061.2500000
LME.Lead,D,27/01/21,00:00:00,2025.0000000
LME.Lead,D,28/01/21,00:00:00,2013.7500000
LME.Lead,D,29/01/21,00:00:00,2008.5000000
LME.Lead,D,01/02/21,00:00:00,2021.0000000
LME.Lead,D,02/02/21,00:00:00,2000.5000000
LME.Lead,D,03/02/21,00:00:00,2018.7500000
LME.Lead,D,04/02/21,00:00:00,2027.0000000
LME.Lead,D,05/02/21,00:00:00,2038.5500000
LME.Lead,D,08/02/21,00:00:00,2061.0000000
LME.Lead,D,09/02/21,00:00:00,2067.2500000
LME.Lead,D,10/02/21,00:00:00,2082.4000000
LME.Lead,D,11/02/21,00:00:00,2093.2000000
LME.Lead,D,12/02/21,00:00:00,2111.6000000
LME.Lead,D,15/02/21,00:00:00,2112.5000000
LME.Lead,D,16/02/21,00:00:00,2093.2500000
LME.Lead,D,17/02/21,00:00:00,2094.5000000
LME.Lead,D,18/02/21,00:00:00,2102.7500000
LME.Lead,D,19/02/21,00:00:00,2151.7500000
LME.Lead,D,22/02/21,00:00:00,2135.7500000
LME.Lead,D,23/02/21,00:00:00,2101.0000000
LME.Lead,D,24/02/21,00:00:00,2105.7500000
LME.Lead,D,25/02/21,00:00:00,2145.0000000
LME.Lead,D,26/02/21,00:00:00,2038.7500000
LME.Lead,D,01/03/21,00:00:00,2057.7500000
LME.Lead,D,02/03/21,00:00:00,2061.5000000
LME.Lead,D,03/03/21,00:00:00,2032.2500000
LME.Lead,D,04/03/21,00:00:00,1997.0000000
LME.Lead,D,05/03/21,00:00:00,2023.0000000
LME.Lead,D,08/03/21,00:00:00,1958.0000000
LME.Lead,D,09/03/21,00:00:00,1942.3600000
LME.Lead,D,10/03/21,00:00:00,1919.5000000
LME.Lead,D,11/03/21,00:00:00,1914.2500000
LME.Lead,D,12/03/21,00:00:00,1936.2500000
LME.Lead,D,15/03/21,00:00:00,1938.5000000
LME.Lead,D,16/03/21,00:00:00,1909.2500000
LME.Lead,D,17/03/21,00:00:00,1891.0000000
LME.Lead,D,18/03/21,00:00:00,1898.5500000
LME.Lead,D,19/03/21,00:00:00,1931.0000000
LME.Lead,D,22/03/21,00:00:00,1946.7500000
LME.Lead,D,23/03/21,00:00:00,1921.0000000
LME.Lead,D,24/03/21,00:00:00,1911.7500000
LME.Lead,D,25/03/21,00:00:00,1895.3500000
LME.Lead,D,26/03/21,00:00:00,1928.0000000
LME.Lead,D,29/03/21,00:00:00,1931.2500000
LME.Lead,D,30/03/21,00:00:00,1946.7500000
LME.Lead,D,31/03/21,00:00:00,1952.5000000
LME.Lead,D,01/04/21,00:00:00,1941.5500000
LME.Lead,D,06/04/21,00:00:00,1946.0000000
LME.Lead,D,07/04/21,00:00:00,1971.7100000
LME.Lead,D,08/04/21,00:00:00,1960.8500000
LME.Lead,D,09/04/21,00:00:00,1956.2500000
LME.Lead,D,12/04/21,00:00:00,1954.3500000
LME.Lead,D,13/04/21,00:00:00,1964.2500000
LME.Lead,D,14/04/21,00:00:00,1973.7500000
LME.Lead,D,15/04/21,00:00:00,1998.2500000
LME.Lead,D,16/04/21,00:00:00,2027.1000000
LME.Lead,D,19/04/21,00:00:00,2034.7500000
LME.Lead,D,20/04/21,00:00:00,2007.0000000
LME.Lead,D,21/04/21,00:00:00,1999.2500000
LME.Lead,D,22/04/21,00:00:00,2028.5000000
LME.Lead,D,23/04/21,00:00:00,2036.5000000
LME.Lead,D,26/04/21,00:00:00,2055.5000000
LME.Lead,D,27/04/21,00:00:00,2067.0000000
LME.Lead,D,28/04/21,00:00:00,2080.5700000
LME.Lead,D,29/04/21,00:00:00,2098.2500000
LME.Lead,D,30/04/21,00:00:00,2137.0000000
LME.Lead,D,04/05/21,00:00:00,2183.7900000
LME.Lead,D,05/05/21,00:00:00,2158.0000000
LME.Lead,D,06/05/21,00:00:00,2203.4000000
LME.Lead,D,07/05/21,00:00:00,2220.2000000
LME.Lead,D,10/05/21,00:00:00,2194.7500000
LME.Lead,D,11/05/21,00:00:00,2201.2500000
LME.Lead,D,12/05/21,00:00:00,2165.2500000
LME.Lead,D,13/05/21,00:00:00,2130.7500000
LME.Lead,D,14/05/21,00:00:00,2137.8000000
LME.Lead,D,17/05/21,00:00:00,2189.3000000
LME.Lead,D,18/05/21,00:00:00,2220.6500000
LME.Lead,D,19/05/21,00:00:00,2173.5000000
LME.Lead,D,20/05/21,00:00:00,2223.5000000
LME.Lead,D,21/05/21,00:00:00,2193.5000000
LME.Lead,D,24/05/21,00:00:00,2125.3000000
LME.Lead,D,25/05/21,00:00:00,2155.2500000
LME.Lead,D,26/05/21,00:00:00,2173.2500000
LME.Lead,D,27/05/21,00:00:00,2208.7500000
LME.Lead,D,28/05/21,00:00:00,2196.2500000
LME.Lead,D,01/06/21,00:00:00,2219.7500000
LME.Lead,D,02/06/21,00:00:00,2234.7400000
LME.Lead,D,03/06/21,00:00:00,2189.2500000
LME.Lead,D,04/06/21,00:00:00,2129.2500000
LME.Lead,D,07/06/21,00:00:00,2144.4600000
LME.Lead,D,08/06/21,00:00:00,2171.0000000
LME.Lead,D,09/06/21,00:00:00,2183.0000000
LME.Lead,D,10/06/21,00:00:00,2165.5000000
LME.Lead,D,11/06/21,00:00:00,2201.0000000
LME.Lead,D,14/06/21,00:00:00,2192.2500000
LME.Lead,D,15/06/21,00:00:00,2158.7500000
LME.Lead,D,16/06/21,00:00:00,2185.5000000
LME.Lead,D,17/06/21,00:00:00,2113.0000000
LME.Lead,D,18/06/21,00:00:00,2145.2500000
LME.Lead,D,21/06/21,00:00:00,2148.3000000
LME.Lead,D,22/06/21,00:00:00,2164.5300000
LME.Lead,D,23/06/21,00:00:00,2179.7500000
LME.Lead,D,24/06/21,00:00:00,2209.0000000
LME.Lead,D,25/06/21,00:00:00,2213.7500000
LME.Lead,D,28/06/21,00:00:00,2250.0000000
LME.Lead,D,29/06/21,00:00:00,2334.5000000
LME.Lead,D,30/06/21,00:00:00,2265.0000000
LME.Lead,D,01/07/21,00:00:00,2266.0000000
LME.Lead,D,02/07/21,00:00:00,2319.0000000
LME.Lead,D,05/07/21,00:00:00,2289.0000000
LME.Lead,D,06/07/21,00:00:00,2292.0000000
LME.Lead,D,07/07/21,00:00:00,2285.5000000
LME.Lead,D,08/07/21,00:00:00,2303.5000000
LME.Lead,D,09/07/21,00:00:00,2331.0000000
LME.Lead,D,12/07/21,00:00:00,2331.0000000
